Dataset: cifar
47.2133	1.0000	10
35.9513	1.0000	50
34.5338	1.0000	100
33.8468	0.9319	200
33.4349	0.8168	500
33.3436	0.5922	750
33.2976	0.2076	1000
Dataset: speech
436.2018	1.0000	10
102.6076	1.0000	50
60.9089	0.9030	100
43.9376	0.7663	200
37.6828	0.1607	500
36.6400	0.0969	750
35.5976	0.0311	1000
Dataset: audio
316.0094	1.0000	10
78.5100	1.0000	50
48.8222	0.8412	100
40.6945	0.7023	200
36.2417	0.3899	500
35.5002	0.0920	750
34.7567	0.0951	1000
Dataset: lsun
79.1096	1.0000	500
49.0497	1.0000	1000
34.2354	0.8791	15000
33.9291	0.6331	20000
33.7025	0.3608	30000
33.5496	0.3369	40000
33.4720	0.4456	50000
33.3960	0.1275	90000
