Dataset: cifar
28.3459	1.0000	10
5.8239	1.0000	50
2.9858	0.9723	100
1.6128	0.7842	200
0.7887	0.5401	500
0.6054	0.3011	750
0.5139	0.4026	1000
Dataset: speech
417.3741	1.0000	10
83.7804	1.0000	50
42.0812	1.0000	100
21.2316	0.8982	200
8.7218	0.2311	500
6.6368	0.0330	750
4.5519	0.1059	1000
Dataset: audio
297.1822	1.0000	10
59.6822	1.0000	50
29.9947	1.0000	100
15.1509	0.9315	200
6.2447	0.1359	500
4.7604	0.0360	750
3.2759	0.1279	1000
Dataset: lsun
60.2820	1.0000	500
30.2219	1.0000	1000
2.2984	0.6739	15000
1.6880	0.3404	20000
1.2303	0.3472	30000
0.9250	0.2460	40000
0.7725	0.2266	50000
0.6199	0.0970	90000
