Dataset: cifar
48.3535	1.0000	10
37.0931	1.0000	50
35.6741	0.9899	100
34.9859	1.0000	200
34.5752	0.5696	500
34.4838	0.5997	750
34.4384	0.2586	1000
Dataset: speech
436.2017	1.0000	10
102.6081	1.0000	50
60.9086	0.8661	100
45.0817	0.5409	200
38.8279	0.2662	500
37.7864	0.0368	750
36.7417	0.0325	1000
Dataset: audio
316.0097	1.0000	10
78.5099	1.0000	50
49.4853	0.9540	100
42.0641	0.6634	200
37.6107	0.1546	500
36.8685	0.0616	750
36.1272	0.2114	1000
Dataset: lsun
79.1092	1.0000	500
49.3375	1.0000	1000
35.3756	0.7936	15000
35.0717	0.6408	20000
34.8427	0.6252	30000
34.6898	0.2939	40000
34.6153	0.2812	50000
34.5373	0.0661	90000
