Dataset: cifar
44.9482	1.0000	10
5.8740	0.9647	50
3.0358	0.8015	100
1.6625	0.4411	200
0.8387	0.1054	500
0.6555	0.0592	750
0.5642	0.0360	1000
Dataset: speech
417.4259	1.0000	10
83.8321	1.0000	50
42.1329	0.4415	100
21.2833	0.0095	200
8.7735	0.0024	500
6.6886	0.0063	750
4.6036	0.0408	1000
Dataset: audio
297.2334	1.0000	10
59.7335	0.7845	50
30.0460	0.5765	100
15.2022	0.3646	200
6.2960	0.0126	500
4.8116	0.0168	750
3.3272	0.0172	1000
Dataset: lsun
80.3308	0.9936	500
30.2722	0.9982	1000
2.3487	0.1153	15000
1.7383	0.1400	20000
1.2805	0.0638	30000
0.9754	0.0303	40000
0.8228	0.0963	50000
0.6701	0.0451	90000
